Job,Asset,Algo,TF,Days,WFO,OOS%,Profit,Margin,MaxDD,PeakDD%,TimeDD%,Trades,Win%,Obj,P/L,P/Trade,Return,CAGR%,Calmar%,Sharpe,R2,CA%
EhlersML_Session,USD/JPY,TRND, 240,  1693, 10, 15,344977,  5005, 19960,   6, 38,   17, 64.7, 0.000, 9.90,20292.7,298.0,149.9,372.7,  1.56, 0.79,----
EhlersML_NoML,USD/JPY,TRND, 240,  1271, 10, 15,216127,  5006, 45645,  20, 32,   16, 62.5, 0.000, 3.94,13508.0,122.6,196.8,136.0,  1.25, 0.64,----
EhlersML_Session,USD/JPY,CYCL, 240,  1693, 10, 15,174770,  5007, 61919,  33, 77,  129, 56.6, 0.000, 1.62,1354.8, 56.3,116.5, 60.9,  0.83, 0.57,----
EhlersML_Session,EUR/USD,TRND, 240,  1693, 10, 15, 90365,  5004, 30045,  25, 33,   13, 61.5, 0.000, 2.74,6951.1, 55.6, 88.8, 64.9,  0.55, 0.00,----
EhlersML_Session,AUD/USD,TRND,  60,  1693, 10, 15,131789,  5004, 52424,  46, 78,  115, 39.1, 0.000, 1.42,1146.0, 49.5,104.1, 54.2,  0.55, 0.44,----
EhlersML_Session,USD/CAD,CYCL, 240,  1693, 10, 15, 92485,  5005, 36515,  33, 87,  189, 57.7, 0.000, 1.33,489.3, 48.0, 89.7, 54.6,  0.59, 0.48,----
EhlersML_NoML,USD/JPY,CYCL, 240,  1693, 10, 15,126617,  5007, 78160,  62, 95,  346, 55.8, 0.000, 1.21,365.9, 32.8,102.4, 34.9,  0.60, 0.00,----
EhlersML_NoML,AUD/USD,CYCL, 240,  1693, 10, 15,130689,  5004, 81759,  49, 92,  318, 59.7, 0.000, 1.19,411.0, 32.5,103.7, 34.5,  0.53, 0.73,----
EhlersML_NoML,USD/JPY,TRND,  60,  1693, 10, 15,127548,  5007, 86671,  77, 85,  138, 33.3, 0.000, 1.38,924.3, 30.0,102.7, 31.7,  0.66, 0.00,----
EhlersML_Session,AUD/USD,CYCL,  60,  1693, 10, 15, 80612,  5004, 94372,  57, 88,  620, 52.7, 0.000, 1.09,130.0, 17.5, 84.5, 18.4,  0.33, 0.46,----
EhlersML_Session,USD/JPY,TRND,  60,  1693, 10, 15, 55974,  5006, 73740, 100, 89,   96, 34.4, 0.000, 1.20,583.1, 15.3, 71.4, 16.4,  0.29, 0.00,----
EhlersML_NoML,USD/CAD,CYCL, 240,  1693, 10, 15, 44168,  5005, 61152, 100, 96,  349, 57.3, 0.000, 1.10,126.6, 14.4, 63.7, 15.6,  0.28, 0.44,----
EhlersML_Session,USD/CHF,TRND, 240,  1693, 10, 15, 51605,  5005, 76193, 100, 80,   24, 45.8, 0.000, 1.48,2150.2, 13.7, 68.7, 14.6,  0.29, 0.00,----
EhlersML_NoML,EUR/USD,TRND, 240,  1693, 10, 15, 31096,  5005, 53785,  91, 73,   32, 50.0, 0.000, 1.31,971.8, 11.4, 53.1, 12.5,  0.19, 0.00,----
EhlersML_Session,USD/CAD,CYCL,  60,  1693, 10, 15, 25792,  5005, 52058, 100, 97,  732, 54.5, 0.000, 1.04, 35.2,  9.7, 48.0, 10.7,  0.16, 0.00,----
EhlersML_NoML,AUD/USD,CYCL,  60,  1693, 10, 15, 41593,  5004, 89007, 100, 97, 1524, 54.1, 0.000, 1.03, 27.3,  9.5, 61.8, 10.1,  0.17, 0.00,----
EhlersML_NoML,AUD/USD,TRND, 240,  1271, 10, 15, 23160,  5003, 80335, 100, 75,   35, 34.3, 0.000, 1.15,661.7,  7.8, 64.3,  8.3,  0.12, 0.00,----
EhlersML_NoML,GBP/USD,CYCL, 240,  1693, 10, 15, 44279,  5007,135339, 100, 97,  350, 58.3, 0.000, 1.07,126.5,  6.8, 63.7,  7.1,  0.21, 0.00,----
